dateTime,Temperature,Humidity,Dew.Point,Wind.Speed,T.MIN-02,T.MIN-03,T.MIN-07,T.MIN-09,T.MIN-10,T.Mintaro_at_met_station,T.MIN-05,T.MIN-08
2017/8/4 10:00,8.209,94.4,7.4,11.9,8.2414,8.3911,8.3667,8.1559,8.1401,8.3419,-3.584,8.328
2017/8/4 11:00,8.258,97.5,7.9,14.7,8.1787,8.1399,8.1784,8.2188,8.0774,8.2166,8.2858,8.2026
2017/8/4 12:00,10.038,86.9,8,13.1,9.935,10.651,9.8094,9.9145,9.7706,10.4097,10.9196,10.4592
2017/8/4 13:00,11.936,74.4,7.5,20.6,12.3175,12.8468,12.0666,12.1742,11.8392,13.2283,12.6119,86.6714
2017/8/4 14:00,11.107,74.4,6.7,17.4,11.2518,11.2158,11.1262,11.1073,11.0871,11.3494,11.4837,86.6714
2017/8/4 15:00,10.718,79.6,7.3,17.8,10.1859,10.0862,10.3738,9.8517,10.2095,10.0338,9.6029,86.6714
2017/8/4 16:00,9.542,91.7,8.3,15.9,9.1824,9.3329,9.5585,9.1609,9.3317,9.0939,9.1012,86.6714
2017/8/4 17:00,8.445,86.9,6.4,14.3,7.8022,7.8259,7.8647,7.779,7.8892,7.5898,7.9722,86.6714
2017/8/4 18:00,8.323,82,5.4,15.1,8.4296,8.9562,8.4294,8.6585,8.7673,8.9686,8.6622,86.6714
2017/8/4 19:00,7.58,83.4,4.9,14.3,7.0492,7.135,7.1117,6.9621,7.0737,7.3391,6.9684,86.6714
2017/8/4 20:00,7.026,85.4,4.7,11.5,6.5472,6.8209,6.6097,6.3965,6.6346,6.7123,7.0312,86.6714
2017/8/4 21:00,7.402,87.5,5.5,11.9,7.1747,7.3863,7.3,7.2763,7.2619,7.1511,30.501,86.6714
2017/8/4 22:00,7.327,89,5.6,13.1,6.9237,7.0094,6.9235,6.8365,6.8855,6.963,6.9684,86.6714
2017/8/4 23:00,7.002,88.7,5.3,9.1,6.1706,6.444,6.2958,6.1451,6.3209,6.0854,6.2782,86.6714
2017/8/5 0:00,6.579,91.7,5.3,8.7,6.1078,6.1927,6.1075,5.9565,6.0071,5.8346,6.0272,86.6714
2017/8/5 1:00,6.003,94.4,5.2,9.5,5.0406,5.4386,5.4798,5.3279,5.3796,5.2703,5.3368,86.6714
2017/8/5 2:00,5.977,93.8,5.1,8.3,5.3545,5.5643,5.3542,5.2022,5.2541,5.2703,5.4624,21.9778
2017/8/5 3:00,5.714,95.7,5.1,7.5,5.1662,5.3758,5.2287,5.1393,5.1913,5.1449,5.2741,21.9778
2017/8/5 4:00,6.158,97.5,5.8,11.1,6.1706,6.2555,6.0448,5.9565,5.9444,6.0227,6.2155,21.2274
2017/8/5 5:00,5.932,98.4,5.7,13.9,5.8567,5.9414,5.8565,5.768,5.8816,5.8346,5.8389,21.4775
2017/8/5 6:00,5.872,100,5.9,9.1,6.045,6.0042,6.0448,5.9565,6.0071,5.96,5.9644,21.3524
2017/8/5 7:00,5.703,100,5.7,10.7,5.9195,5.9414,5.9192,5.8937,5.8816,5.8346,5.9644,21.3524
2017/8/5 8:00,5.779,100,5.8,13.9,5.9823,6.0042,5.982,5.9565,5.9444,5.96,6.0272,21.3524
2017/8/5 9:00,6.111,100,6.1,9.5,6.3589,6.3812,6.4841,6.3337,6.3836,6.3361,6.341,21.2274
2017/8/5 10:00,6.88,99,6.7,11.1,7.363,7.3863,7.3,7.025,7.1992,7.2138,7.4703,86.6714
2017/8/5 11:00,8.297,94.7,7.5,10.3,9.6214,9.5212,9.7467,9.3493,9.269,9.3446,9.4148,86.6714
2017/8/5 12:00,11.036,84.6,8.5,15.5,13.3203,13.2231,13.0694,12.2997,12.2153,12.79,12.4239,12.7775
2017/8/5 13:00,10.901,81.4,7.8,13.5,11.9414,11.8432,12.2547,12.0487,12.6539,11.5373,11.6718,12.0884
2017/8/5 14:00,11.186,80.8,8,17,12.0041,11.9687,11.9412,11.735,11.8392,12.101,11.4211,11.9004
2017/8/5 15:00,11.788,77.9,8.1,19,12.5682,12.7214,12.3173,12.4252,12.3406,12.9778,13.0506,12.5269
2017/8/5 16:00,12.558,73.3,7.9,15.5,12.7563,13.3485,12.7561,12.8017,13.2178,13.1031,14.1783,12.9654
2017/8/5 17:00,12.51,66,6.3,19.8,14.0722,13.2231,13.0694,12.8017,13.0925,12.9778,12.7999,13.3412
2017/8/5 18:00,10.969,66,4.9,16.7,10.6875,10.7138,10.5619,10.5423,10.6483,10.535,10.4807,10.5219
2017/8/5 19:00,10.182,67.1,4.4,15.5,9.6214,9.7723,9.6212,9.5377,9.5825,9.6579,86.6611,9.5818
2017/8/5 20:00,10.084,63.6,3.5,13.9,9.496,9.7096,9.5585,9.4749,9.7079,9.7205,9.5402,9.4564
2017/8/5 21:00,9.829,62.4,3,15.1,9.6214,9.8351,9.4331,9.5377,9.5198,9.4072,9.4775,9.6445
2017/8/5 22:00,10.606,58,2.7,19.4,10.6875,10.8393,10.3738,10.354,10.2722,10.7856,10.6688,10.4592
2017/8/5 23:00,9.801,71,4.8,19.8,8.6178,8.6423,8.5549,8.0931,8.391,8.4046,8.0977,8.2653
2017/8/6 0:00,9.401,72.1,4.6,19,8.6178,8.3283,8.6176,8.0303,8.4537,8.0912,8.6622,8.328
2017/8/6 1:00,7.785,94.4,6.9,15.1,7.363,7.3235,7.3627,7.2763,7.3874,7.2764,7.2821,7.3248
2017/8/6 2:00,7.751,100,7.8,12.7,7.8022,7.8259,7.802,7.7162,7.7638,7.7779,7.784,7.7637
2017/8/6 3:00,8.299,96,7.7,19,7.9277,7.9515,7.9902,7.8418,7.952,7.9032,7.9095,7.8891
2017/8/6 4:00,8.13,93.8,7.2,13.1,7.5512,7.5747,7.551,7.402,7.5129,7.4645,7.5331,7.4502
2017/8/6 5:00,7.81,96,7.2,12.7,7.5512,7.5119,7.551,7.4648,7.5129,7.4645,7.4703,7.4502
2017/8/6 6:00,7.095,96.6,6.6,12.7,6.7354,6.6953,6.6724,6.5851,6.6346,6.6496,6.5292,6.635
2017/8/6 7:00,7.203,97.8,6.9,18.6,6.861,6.8838,6.9235,6.7736,6.8228,6.8377,6.8429,6.8231
2017/8/6 8:00,7.079,97.2,6.7,15.5,6.7982,6.8838,6.7979,6.7108,6.7601,6.775,6.9057,6.6977
2017/8/6 9:00,7.341,95.4,6.6,14.7,7.2375,7.3863,7.3627,7.1507,7.2619,7.1511,7.3449,7.1994
2017/8/6 10:00,7.676,95.7,7,15.1,7.4257,7.3863,7.551,7.2763,7.4501,7.2138,7.4076,7.3248
2017/8/6 11:00,9.069,86.9,7,15.5,9.3078,9.584,9.6212,8.8469,9.1435,9.6579,9.4775,9.4564
2017/8/6 12:00,9.814,86.6,7.7,18.2,10.6875,9.7723,10.4992,9.6633,10.1468,9.4072,9.4148,9.7698
2017/8/6 13:00,10.174,84,7.6,20.2,10.8756,11.3413,10.9381,10.8562,10.4602,10.723,10.6688,11.5872
2017/8/6 14:00,9.542,89.6,7.9,21,10.8129,10.2117,10.1857,9.7889,9.9587,9.3446,9.8537,9.9578
2017/8/6 15:00,9.39,85.2,7,19,9.8723,9.584,10.1229,9.7261,9.8333,9.5952,10.1045,9.7071
2017/8/6 16:00,10.028,79.6,6.7,15.9,9.9977,10.1489,9.3703,9.4121,9.5825,11.0988,9.6656,9.5818
2017/8/6 17:00,9.05,83.4,6.4,14.7,7.9277,7.9515,8.053,7.8418,8.0147,7.6525,8.0349,7.8891
2017/8/6 18:00,8.894,84.3,6.4,18.2,8.5551,8.5795,8.4294,8.1559,8.5164,8.0286,8.5995,8.7042
2017/8/6 19:00,8.677,86.3,6.5,17,8.2414,8.3911,8.3039,7.9675,8.2656,7.7779,7.784,8.4534
2017/8/6 20:00,6.158,92.9,5.1,22.6,5.7312,5.69,5.982,5.768,5.8816,5.5211,5.7134,5.8196
2017/8/6 21:00,5.625,97.8,5.3,14.7,5.3545,5.3758,5.4798,5.3279,5.3796,5.333,5.3996,5.3806
2017/8/6 22:00,5.657,96.3,5.1,13.5,5.1662,5.1872,5.1659,5.0135,5.0658,5.0195,5.023,5.0669
2017/8/6 23:00,5.471,96.6,5,12.3,4.8523,4.9358,4.9776,4.9507,5.0031,4.8314,4.9602,5.0042
2017/8/7 0:00,5.702,100,5.7,9.1,5.4801,5.6272,5.4798,5.3908,5.4424,5.6465,5.6506,5.4433
2017/8/7 1:00,6.083,95.7,5.4,8.7,5.1662,5.4386,5.2915,5.0764,5.2541,5.2703,5.3996,5.3178
2017/8/7 2:00,5.663,95.7,5,4.4,4.5383,4.433,4.6008,4.4476,4.3754,4.8314,4.6464,4.5023
2017/8/7 3:00,6.27,93.8,5.4,8.3,5.5429,5.8157,5.5426,5.5165,5.8816,5.6465,5.9017,5.6315
2017/8/7 4:00,5.819,96.3,5.3,3.6,4.7267,4.9358,5.1659,4.8878,4.9403,4.7687,5.1485,5.0042
2017/8/7 5:00,7.041,99,6.9,10.3,7.0492,7.135,7.049,6.8365,7.011,7.0257,7.0312,7.0113
2017/8/7 6:00,7.432,96.6,6.9,11.1,7.1747,7.1978,7.3,7.2135,7.2619,7.2138,7.2821,7.1994
2017/8/7 7:00,7.347,97.8,7,12.7,7.1747,7.2607,7.3,7.2135,7.1992,7.2764,7.2194,7.1994
2017/8/7 8:00,7.087,96.9,6.6,9.1,6.9237,7.0094,6.9862,6.9621,6.9483,6.963,7.0312,7.074
2017/8/7 9:00,7.606,93.5,6.6,11.5,7.6767,7.8259,7.8647,7.8418,7.6383,7.7779,7.784,7.8264
2017/8/7 10:00,8.198,96.3,7.6,14.7,8.6806,8.8307,8.994,8.7213,8.7046,8.6553,8.8503,8.7669
2017/8/7 11:00,8.85,98.7,8.7,9.9,9.0569,8.9562,9.2449,8.8469,9.0808,8.9059,9.1639,9.0176
2017/8/7 12:00,10.161,91.7,8.9,13.1,10.6875,10.651,11.4397,10.4168,10.899,10.4724,11.2957,10.7099
2017/8/7 13:00,11.545,84.6,9,13.1,12.1922,12.9095,14.5106,14.8089,15.0971,12.2263,12.3612,14.3433
2017/8/7 14:00,12.212,78.8,8.6,17.4,14.0096,14.4144,14.9492,14.3072,13.907,15.1067,13.4892,13.9049
2017/8/7 15:00,11.575,76.7,7.6,16.7,13.0696,13.1604,12.5681,12.739,12.4659,12.9152,14.053,12.9654
2017/8/7 16:00,12.479,72.4,7.6,13.5,16.0141,15.6681,14.8239,14.8716,15.0345,16.4212,13.5518,14.8443
2017/8/7 17:00,12.174,75,7.9,10.7,15.3252,15.292,14.6359,14.8716,14.596,14.2928,14.8048,15.533
2017/8/7 18:00,10.535,79.4,7.1,9.1,10.6248,10.7765,10.4992,10.5423,10.3349,10.5977,10.6688,10.6472
2017/8/7 19:00,9.414,80.8,6.3,5.9,9.1197,9.0818,8.994,8.8469,8.7046,9.0939,8.9758,8.9549
2017/8/7 20:00,8.763,88.7,7,0.4,7.8022,7.9515,7.8647,7.7162,7.7638,7.9032,7.5958,7.701
2017/8/7 21:00,6.075,95.7,5.4,2,3.722,3.9301,3.2192,3.6929,3.1826,2.8872,3.014,3.7493
2017/8/7 22:00,4.264,99,4.1,2,2.2773,2.9869,3.3448,3.2526,3.3082,1.6326,2.4488,3.0591
2017/8/7 23:00,4.284,100,4.3,0,1.649,2.1693,0.5804,0.4208,0.6705,2.3854,0.0617,0.9249
2017/8/8 0:00,2.107,100,2.1,0,0.7065,0.4077,-0.1109,0.2949,0.1051,1.1307,0.1874,-0.2053
2017/8/8 1:00,5.229,100,5.2,0,5.6684,5.6272,4.2241,3.9445,3.8104,5.6465,4.5208,3.8121
2017/8/8 2:00,6.104,100,6.1,1.6,5.5429,5.6272,5.5426,5.5165,5.6306,5.96,5.5251,5.5687
2017/8/8 3:00,5.42,100,5.4,1.2,5.229,5.0615,4.9776,4.8249,4.8775,5.1449,4.9602,4.9414
2017/8/8 4:00,4.465,99.6,4.4,0.8,2.3401,2.4209,3.5333,3.3155,3.1198,2.95,2.7628,3.6238
2017/8/8 5:00,3.606,100,3.6,0,3.0939,3.4271,3.5333,3.7558,4.1243,3.6399,3.7675,3.6238
2017/8/8 6:00,4.084,100,4.1,0,3.5336,3.3642,3.0308,2.6235,2.3663,3.5772,3.3907,2.8708
2017/8/8 7:00,4.658,100,4.7,0,5.1662,4.9987,4.852,4.6992,4.752,5.1449,5.0858,4.816
2017/8/8 8:00,4.767,100,4.8,0,4.9778,5.0615,5.0403,4.8878,4.8775,4.9568,5.0858,4.9414
2017/8/8 9:00,6.172,100,6.2,0.4,7.4257,7.5747,6.8607,6.8365,6.5718,7.2138,7.0939,6.9486
2017/8/8 10:00,7.298,100,7.3,3.2,7.9905,7.6375,8.2412,8.0931,8.9554,7.9659,8.0349,8.0772
2017/8/8 11:00,9.31,93.5,8.3,4,9.9977,9.7096,9.6212,9.6005,9.5198,10.4724,10.1672,10.1459
2017/8/8 12:00,12.044,75,7.7,7.1,14.3855,13.8502,15.3877,14.997,13.9696,12.79,14.5542,14.8443
2017/8/8 13:00,13.599,71.8,8.6,7.1,15.701,16.232,15.6382,15.6866,15.2224,16.8593,15.5564,15.0321
2017/8/8 14:00,13.503,71.3,8.4,7.5,15.012,14.7279,14.8865,14.558,14.6587,14.4806,16.2452,14.5938
2017/8/8 15:00,14.012,68.5,8.3,7.9,15.5131,16.3574,15.9514,15.812,16.2869,16.2335,16.3705,15.6582
2017/8/8 16:00,14.801,63.8,8,5.2,17.7674,17.3598,16.9533,17.2536,17.7268,18.7366,18.0609,17.6613
2017/8/8 17:00,14.2,68.5,8.5,3.6,15.3878,15.4174,14.5106,14.8716,14.596,15.4197,14.93,15.2826
2017/8/8 18:00,14.024,69.4,8.5,0.8,15.2625,14.9786,14.3853,15.2478,15.3476,14.9815,12.7372,14.2807
2017/8/8 19:00,9.615,84,7,0,6.045,6.6325,6.4214,5.1393,5.6934,6.7123,5.7762,5.8196
2017/8/8 20:00,7.172,95.7,6.5,0,4.2872,4.3701,3.8473,2.9381,2.9943,5.5211,3.328,3.3728
2017/8/8 21:00,5.59,95.7,5,0,3.0311,2.924,2.0885,1.9943,2.2407,3.7026,2.386,2.1804
2017/8/8 22:00,5.856,100,5.9,2,4.7267,4.6844,3.9729,2.7494,3.371,5.0195,3.7675,3.7493
2017/8/8 23:00,5.269,98.7,5.1,0,3.5964,3.2384,2.9052,3.2526,3.3082,3.7653,2.8256,3.5611
2017/8/9 0:00,4.259,100,4.3,1.6,3.9732,3.1127,2.2142,2.0572,2.1151,3.5772,2.6372,2.2431
2017/8/9 1:00,3.939,100,3.9,2,3.0311,2.1693,0.1405,-0.3977,-0.586,3.1381,1.4439,-0.3937
2017/8/9 2:00,3.665,99.6,3.6,0,1.649,1.4773,-0.8024,-1.3423,-1.0887,2.3854,-0.7552,-1.2102
2017/8/9 3:00,1.959,100,2,0,-0.1106,0.0301,-1.0539,-1.4683,-1.1515,0.8797,-0.818,-1.273
2017/8/9 4:00,1.733,100,1.7,0.8,0.5179,0.7852,0.0776,-0.2718,-0.4603,0.817,0.5644,-0.0797
2017/8/9 5:00,1.478,100,1.5,1.2,-0.1106,0.156,-0.2366,-0.6496,-0.7117,0.4405,-0.2525,-0.3309
2017/8/9 6:00,1.571,99.9,1.6,2,0.7065,0.6594,0.5176,0.106,0.3564,0.7542,0.6272,0.297
2017/8/9 7:00,1.484,100,1.5,1.2,0.5179,0.5965,-0.0481,-0.0199,-0.2718,0.566,0.313,0.4226
2017/8/9 8:00,1.561,100,1.6,2,0.7065,0.4706,0.329,0.9873,0.6077,1.0052,1.067,1.1132
2017/8/9 9:00,4.231,93.8,3.3,1.6,3.8476,4.3701,4.0357,4.0703,4.1243,4.8314,4.8347,4.0003
2017/8/9 10:00,9.326,80.2,6.1,5.6,8.8687,10.4,10.6246,10.6679,10.7737,11.0362,10.3553,9.2684
2017/8/9 11:00,13.654,68,7.8,4.4,15.6383,16.1694,16.2645,15.4359,16.1617,17.4226,16.4331,15.22
2017/8/9 12:00,13.622,66.6,7.5,6.3,14.1975,14.1637,14.26,14.2445,13.907,14.418,14.1157,14.218
2017/8/9 13:00,14.719,55.9,6,9.9,15.3252,15.4174,15.9514,15.7493,15.8486,15.4823,15.8069,15.9086
2017/8/9 14:00,16.556,50.1,6.1,10.3,18.0178,18.2366,17.6421,18.1934,17.4764,18.4238,18.3738,18.3497
2017/8/9 15:00,15.991,52,6.1,9.1,16.1394,16.2947,16.2645,16.6269,16.2869,16.1709,15.619,16.4095
2017/8/9 16:00,15.839,50.4,5.5,8.3,16.5777,16.608,16.6402,16.6269,16.4121,16.4838,17.8105,16.9102
2017/8/9 17:00,16.472,50.9,6.3,7.5,16.4525,16.1694,16.014,15.812,15.6607,15.9831,16.3079,16.5973
2017/8/9 18:00,14.579,54.6,5.5,5.2,14.3228,14.1637,13.9468,13.68,13.8443,13.8545,13.5518,14.1554
2017/8/9 19:00,11.421,65.2,5.1,4.8,10.2486,10.4,9.4331,10.2284,10.9617,10.0338,10.0418,9.8952
2017/8/9 20:00,10.236,67.1,4.4,5.6,9.5587,9.6468,9.3076,8.9725,9.0181,9.4072,9.2266,9.2057
2017/8/9 21:00,8.968,72.7,4.3,4.4,8.1159,7.8887,7.9275,7.779,7.7011,8.1539,8.0977,7.8264
2017/8/9 22:00,8.661,71.3,3.8,5.6,8.5551,8.3911,7.1745,7.0878,6.8855,8.2793,8.2858,7.1367
2017/8/9 23:00,8.497,73.3,4,7.5,7.9277,8.2027,8.5549,8.2816,8.2028,7.8405,8.3486,8.5788
2017/8/10 0:00,8.62,67.4,2.9,9.1,8.7433,8.7051,8.3039,8.1559,8.1401,8.6553,8.6622,8.1399
2017/8/10 1:00,10.035,58.6,2.3,11.5,9.7469,9.8979,9.5585,9.2865,9.3317,9.6579,9.6029,9.5818
2017/8/10 2:00,12.507,41.6,-0.2,14.3,12.3802,12.4705,12.192,12.1115,12.2153,12.5394,12.5492,12.4643
2017/8/10 3:00,13.201,36.9,-1.2,18.2,12.8189,12.9723,12.8188,12.9272,12.9672,13.0405,12.7999,12.7148
2017/8/10 4:00,13.158,36.9,-1.3,15.5,12.6936,12.8468,12.8188,12.6135,12.7166,12.9152,12.6119,12.6522
2017/8/10 5:00,12.935,36.6,-1.6,14.7,12.4429,12.6587,12.5054,12.5507,12.4659,12.6021,12.4239,12.5269
2017/8/10 6:00,11.969,41.6,-0.7,9.9,11.4399,11.655,11.5651,11.4839,11.4005,11.6626,11.5464,11.5245
2017/8/10 7:00,11.48,39.9,-1.7,9.5,10.8129,11.404,10.6873,10.4796,10.2722,11.3494,11.7971,10.5846
2017/8/10 8:00,11.76,41.1,-1,11.9,11.3145,11.2785,11.0008,10.8562,10.9617,10.9735,10.7315,11.0232
2017/8/10 9:00,11.518,44.1,-0.3,11.9,11.3772,11.5295,11.2516,11.2329,11.3378,10.9735,11.1703,11.3365
2017/8/10 10:00,14.189,40.1,0.8,15.1,15.1999,15.4174,15.325,15.1851,14.8466,15.1693,15.4937,15.4078
2017/8/10 11:00,16.114,38.9,2.1,13.5,17.2039,17.0465,17.329,16.8776,16.913,17.4852,17.2471,17.0354
2017/8/10 12:00,17.735,46.4,6.1,13.5,18.9567,18.8629,19.4573,19.3209,18.9786,18.9243,18.6868,19.2257
2017/8/10 13:00,17.497,45.1,5.5,19,19.3948,19.1759,19.7702,19.5714,19.354,18.3612,18.8745,19.601
2017/8/10 14:00,17.368,45.4,5.4,19.4,18.9567,19.1133,19.7702,18.8825,19.1663,18.4238,19.25,18.9754
2017/8/10 15:00,17.373,43.4,4.8,17.4,20.0831,19.8646,19.3321,19.5088,19.6669,19.3623,19.3752,19.5385
2017/8/10 16:00,17.129,40.4,3.5,17,19.7702,19.1133,19.0818,19.2583,19.354,18.9243,18.4364,19.4133
2017/8/10 17:00,16.103,41.4,3,15.9,18.5186,17.7356,17.329,18.1308,17.9772,17.8606,16.3705,17.5361
2017/8/10 18:00,14.092,51.7,4.3,13.1,13.383,14.9786,14.448,14.9343,14.9718,14.7311,14.6795,14.6564
2017/8/10 19:00,11.272,71.6,6.3,15.5,10.4367,10.7138,10.6246,10.6051,10.8364,10.535,10.5434,10.7726
2017/8/10 20:00,9.872,77.3,6.1,11.9,9.1824,9.584,9.4331,9.2237,9.3317,9.2819,9.4775,9.5191
2017/8/10 21:00,9.433,75.3,5.3,11.1,8.6806,9.0818,8.7431,8.5957,8.8927,9.0313,8.9758,9.0176
2017/8/10 22:00,10.154,72.7,5.5,15.5,9.9977,10.2117,10.1229,10.1029,10.2095,10.2218,10.1672,10.2712
2017/8/10 23:00,9.91,79.4,6.5,14.3,9.5587,9.7723,9.8721,9.7261,9.7079,9.7832,9.791,9.8325
2017/8/11 0:00,9.334,86.6,7.2,16.7,8.9942,9.1446,9.0567,8.9097,9.0181,9.2192,9.2893,9.143
2017/8/11 1:00,9.004,90.8,7.6,11.9,8.9315,9.019,9.1194,8.9097,9.0181,8.9059,8.913,9.0803
2017/8/11 2:00,8.8,89.6,7.2,14.3,8.7433,8.8307,8.9312,8.7841,8.83,8.7806,8.8503,8.8923
2017/8/11 3:00,8.551,92.6,7.4,13.5,8.6178,8.7051,8.6803,8.6585,8.7046,8.6553,8.6622,8.7042
2017/8/11 4:00,8.04,95.1,7.3,12.7,7.9277,8.0771,8.1157,8.0303,8.0774,7.9659,8.0977,8.1399
2017/8/11 5:00,7.517,95.1,6.8,9.5,7.4257,7.5747,7.6137,7.5277,7.5756,7.4645,7.5331,7.5756
2017/8/11 6:00,6.933,96.6,6.4,7.5,6.3589,6.444,6.4841,6.2708,6.3836,6.2735,6.4037,6.4469
2017/8/11 7:00,6.473,97.5,6.1,7.1,5.4173,5.7528,5.5426,5.6422,5.7561,6.0227,5.4624,5.7569
2017/8/11 8:00,5.744,99.6,5.7,4.8,5.1034,5.3758,5.0403,4.8878,5.0658,5.1449,5.2741,5.0669
2017/8/11 9:00,7.314,95.7,6.7,5.6,8.4296,8.4539,10.2484,8.2816,7.8265,8.0912,8.5995,8.4534
2017/8/11 10:00,9.581,88.1,7.7,9.5,11.7534,11.5922,12.2547,11.5467,11.2751,10.9109,11.8598,11.8378
2017/8/11 11:00,11.761,71,6.7,9.9,14.0096,14.2264,14.5106,13.8054,13.3431,13.0405,13.7398,13.9049
2017/8/11 12:00,12.727,66,6.5,12.7,15.3252,14.4771,15.8887,15.3732,15.1597,14.2302,15.4937,15.533
2017/8/11 13:00,12.995,60,5.4,13.1,14.1349,14.8533,13.3201,12.8644,13.2178,15.1693,14.7421,13.0907
2017/8/11 14:00,13.39,56.5,4.9,13.1,16.9535,16.0441,18.4559,17.5042,17.226,15.4197,14.6795,16.9728
2017/8/11 15:00,12.839,63.8,6.2,13.9,14.2602,13.9756,14.3227,13.8681,13.9696,13.3536,14.1157,14.2807
2017/8/11 16:00,13.796,55.7,5.1,11.5,17.8926,16.9213,16.2019,15.3105,15.9112,14.9815,13.6771,15.6582
2017/8/11 17:00,12.026,59.4,4.3,13.1,12.8189,12.7841,13.1321,13.1781,13.0925,12.4768,12.6746,13.1533
2017/8/11 18:00,11.764,61.6,4.6,8.3,11.6907,11.7805,11.9412,11.735,11.9019,11.9131,11.6091,11.8378
2017/8/11 19:00,10.019,68.5,4.5,3.6,7.3002,7.8259,7.049,6.208,6.8228,8.4673,6.341,6.6977
2017/8/11 20:00,6.49,83.7,3.9,0,3.4708,5.3129,3.7217,2.9381,3.057,3.8907,4.4581,3.1218
2017/8/11 21:00,4.141,95.7,3.5,0,1.0835,1.4144,0.769,1.1132,1.2359,1.5699,1.1926,0.9249
2017/8/11 22:00,3.937,95.4,3.3,0,0.5808,1.3515,0.5804,0.6097,1.1102,2.6363,0.8785,0.5482
2017/8/11 23:00,3.797,97.8,3.5,0,2.3401,2.924,2.9052,2.6864,3.1826,3.1381,2.3232,2.8708
2017/8/12 0:00,3.771,96.6,3.3,0,1.0207,2.6096,0.8947,0.6097,1.2359,2.1345,1.4439,0.7365
2017/8/12 1:00,3.606,96.6,3.1,0,-0.1734,0.4706,-0.5509,-0.3977,-0.3347,2.0718,-0.1268,-0.0169
2017/8/12 2:00,3.144,97.5,2.8,0,-0.6134,-0.2846,-0.4881,-0.5236,-0.3347,1.0052,-0.7552,-0.6449
2017/8/12 3:00,3.347,98.1,3.1,0,-0.362,0.4077,0.2662,-0.8385,-0.586,1.3817,0.1874,-0.4565
2017/8/12 4:00,3.302,99.6,3.2,0,0.5179,0.974,0.8318,0.4208,0.6705,2.1345,0.6272,0.2342
